Character	Modern (Beijing) reading	Preclassic Old Chinese	Classic Old Chinese	Western Han Chinese	Eastern Han Chinese	Early Postclassic Chinese	Middle Postclassic Chinese	Late Postclassic Chinese	Middle Chinese	English meaning	Russian meaning[s]	Comments	Sino-Tibetan etymology	Dialectal data	Radical	Four-angle index	Karlgren code	Go-on	Kan-on	Japanese reading	Vietnamese reading	Jianchuan Bai	Dali Bai	Bijiang Bai	Shijing occurrences	Fanqie	Rhyme class	Shuowen gloss
包	bāo	prū	prū	prǝ̄w	prǝ̄w	pǝ̣̄w	pạ̄w	pạ̄w	pạw	to wrap, envelope	1) обертывать, завертывать; упаковывать; перевязывать ( рану ); 2) обертка, тара; узел, сверток; 3) пачка, пакетик; счетное слово для предметов в упаковке ; 4) обнимать, окружать, охватывать; заключать ( в себе ), вмещать; 5) брать подряд, заключать контракт; гарантировать, обязаться, взять на себя полностью; нанять целиком, зафрахтовать; 6) оптом, гуртом, целиком; 7) Бао ( фамилия )	Attested in Shi, but omitted by Schüssler.		Dialectal data	20	7098	1113 a				bao	pao4	po5	po4	23.1			
匆	cōng	shrōŋ	shrōŋ	ṣhōŋ	ṣhōŋ	ṣhọ̄ŋ	ṣhọ̄ŋ	ṣhọ̄ŋ	c̣hạuŋ	window [Han]	быстро, поспешно; торопливо; в спешке	= 窗.		Dialectal data	61	8408	1199 b											
北	běi	pǝ̄k	pǝ̄k	pǝ̄k	pǝ̄k	pǝ̄k	pǝ̄k	pǝ̄k	pʌk	North	1) север; Норд; северный; идти на север; 2) потерпеть поражение; [bò] нарушать; [bèi] 1) разделять, разграничивать; различный; 2) спина, вм. 背	For etymology see 背 *pǝ̄k-s 'back'.		Dialectal data	21	6987	0909 a-d				bắc,â	pɨ6	pɨ6		40.1, 41.1, 41.2, 48.2_, 57.4	補黑 [a] 布誨 [b]	職 [a] 隊 [b]	??也. 從二. 人相背. 凡北之屬皆從北.
匝	zā	cǝ̄p (~ ć-)	cǝ̄p	cǝ̄p	cǝ̄p	cǝ̄p	cǝ̄p	cǝ̄p	cʌp	a round, a circle.	1) обходить кругом; обращаться; кругооборот; 2) целый, один; один раз		Sino-Tibetan etymology		22	799	0679 a-c											
仟	qiān										тысяча ( прописью )				9	2330												
半	bàn	pāns	pānh	pānh	pānh	pā̀n	pā̀n	pā̀n	pwần	half	половина; пол-, полу-; наполовину; делить пополам	Attested already in Yijing, but absent in Schüssler's dictionary. There is also a Han reading *phān-s, MC phwần (FQ JY 普半) 'big board'.		Dialectal data	24	2461	0181 a				bán							
卉	huì									plants, grass	1) травы; растительность; 2) множество				24	2767												
卡	qiǎ										1) застрять; подавиться; 2) таможня; 3) застава, караул, кордон; [qiá] 1) зажать; 2) вставить; поставить между; [kǎ] 1) карточка ( визитная, поздравительная ); 2) картон; 3) калория; 4) автомашина			Dialectal data	25	1974												
占	zhān zhàn	tem tems	tem	tjam	ćam	ćem	ćem	ćem	ćem ćèm	to interpret, prognosticate	1) гадать; предсказывать; 2) размышлять; обдумывать; [zhàn] 1) занять, оккупировать, захватить, завладеть, вм. 佔; 2) занимать, составлять	Schüssler (812-813) considers 占 to be the same word as 瞻 (q.v.);  hsieh-sheng evidence is, however, against it. Since Han the graph is also used  for a close phonetically *tem-s, MC ćèm, Mand. zhàn 'to seize, capture,  occupy' (Viet. chiếm).     Viet. also has a word d_iềm 'augury, omen; foretoken, prognostic' which  may be an old loan from the same source (although the tone is somewhat  strange).			25	1245	0618 a-b				chiêm					支淹 [a] 至豔 [b]	鹽 [a] 豔 [b]	視兆問也. 從卜. 從口.
卯	mǎo	mhrūʔ	mhrū́	mhrǝ̄́w	mhrǝ̄́w	mhǝ̣̄́w	mhạ̄́w	mhạ̄́w	mạ́w	the 4th Earthly Branch	1) 4-ый циклический знак из 12; четвертый; апрель; 2) время от 5 до 7 часов утра; утренний, ранний; 3) тех. паз, гнездо	Viet. also has a colloquial loanword: mẹo with the same meaning. For *mh cf. Jianou mau 8 .		Dialectal data	26	2098	1114 a-e				mão					姥咬	巧	冒也. 二月萬物冒地而出. 象開門之形. 故二月為天門. 凡卯之屬皆從卯.
卮	zhī										1) кубок, чаша; 2) см. 梔				26	7133												
去	qù	khaʔ	khá	khá	khá	khó	khó	khó	khö́	to put away, eliminate, remove	1) уходить; отправляться, идти; 2) уйти из...; уехать из...; удалиться от...; отстоять, быть на расстоянии от...; у, из, от; 3) отстранить ( от должности ); отбросить; отменить; удалить; отрубить, отрезать; 4) прошедший, прошлый; прошлое; 5) направлять, посылать; командировать; 6) сокр. цюйшэн, 4-ый тон ( в пекинской номенклатуре ); 7) театр. выступать в роли, играть роль ( кого-л. ); 8) вспомогательный глагол а) выделяет сказуемое с указанием на удаление действия от говорящего лица ; б) вводит обстоятельство цели ; 9) глагольный суффикс а) направления действия ( от говорящего лица ); б) продолжительности действия	Also read *khaʔ-s, MC khö̀, Mand. qù, Viet. khú' 'to go away, leave'.	Sino-Tibetan etymology	Dialectal data	28	8636					khu`'							
可	kě	khājʔ	khā́j	khā́j	khǟ́	khā́	khā́	khā́	khấ	to bear; can	1) можно; мочь; разрешается, позволяется; возможно; 2) но, однако; все же; лишь; 3) подходящий, годный; заслуживающий, достойный; как раз, точка в точку; подходить ( к чему-л. ); 4) примерно, приблизительно; пожалуй; 5) как?, почему бы?, зачем бы?; разве?; 6) однако, то; в самом деле; 7) Кэ ( фамилия )	Viet. khá is colloquial; regular Sino-Viet. is kha`.	Sino-Tibetan etymology	Dialectal data	30	2979	0001 a-c				khá				9.1, 9.2, 9.3, 26.2, 26.3, 29.3, 46.1, 46.2, 46.3, 55.1, 55.2, 58.3			肯也.從口#.#亦聲.凡可之屬皆從可. [204]
古	gǔ	kāʔ	kā́	kā́	kā́	kṓ	kṓ	kṓ	kó	be old, ancient	1) древний; древность; древние времена; 2) старинный; античный; антик; 3) изящный; вычурный; 4) сокр. Куба; 5) Гу ( фамилия )		Sino-Tibetan etymology	Dialectal data	30	1270	0049 a-e				cô`	ku1	ku1	kü1, gü1	27.3, 27.4, 29.1			
右	yòu	wǝʔ	wǝ́	wǝ́	wǝ́	wíw	wǝ́w	wǝ́w	ɦǝ́w	be right (side), be to the right	1) правая сторона; правый; направо; 2) вышеизложенный, ранее упомянутый ( в тексте ); 3) почитать, высоко ценить, придавать значение; содействовать, помогать; 4) сильный; 5) запад; западный; 6) второй	The concept of 'right' (as well as 'left'!)  in Chinese is closely connected with 'help, assist': we thus have related or identical words 佑 wǝʔ-s (MC ɦǝ̀w, Mand. yòu) 'to aid, support' (this word  has even transferred its 去聲 to 右 which otherwise should have been read MC  ɦǝ́w, Mand. yǒu), 友 wǝʔ (MC ɦǝ́w, Mand. yǒu with regular 上聲) 'friend'.  All these words have reflexes of *w- (not *wh-) in Min dialects: cf. 右,佑 >  Xiamen iu 6 , Chaozhou iu 4 , Fuzhou eu 6 , Jianou iu 6 , 友 > Xiamen, Chaozhou,  Fuzhou iu 3 .		Dialectal data	30	1108					hũ'u				1.2, 38.3			助也.從口又.
召	zhào	d(h)rawʔs	d(h)rawh	ḍ(h)awh	ḍ(h)awh	ḍ(h)èw	ḍ(h)èw	ḍ(h)èw	ḍèw	to call, summon	1) звать; созывать; 2) вызывать, приглашать; [shào] Шао ( фамилия )	Also read *daw(ʔ)-s, MC ʒ́èw (FQ 寔照) 'name of a county, Shao' (thus in Shi 16.1).			30	1344	1131 e-h				triệu				16.1, 16.2, 16.3			
叮	dīng										1) предписывать, приказывать; велеть; 2) повторять; 3) жалить, кусать ( о насекомых ); засиживать ( о мухах )				30	2928												
叩	kòu	khōʔ	khṓ	khwā́	khwā́	khṓw	khǝ̄̀w	khǝ̄̀w	khʌ́w	strike; attack, set to work upon [LZ]	1) стучаться, спрашивать (осведомляться) о...; 2) кланяться; бить челом, класть земные поклоны	Also read *khōʔ-s, MC khл̀w, Pek. kòu id.		Dialectal data	30	2084	0110 d											
叨	tāo	tāw	tāw	tāw	tāw	tāw	tāw	tāw	tâw	grieved, sorry	1) жаждать, желать; алчный, жадный; 2) удостоиться ( внимания ); 3) причинить ( беспокойство ); [dāo] 叨叨 распространяться, много говорить	= 忉 q.v.; during LZ read *thāw, MC thâw 'covetous'.			30	4177	1131 d											
叼	diao														0	0												
司	sī	slhǝ	sl̥ǝ	sl̥ǝ	s(h)jǝ	s(h)jɨ	s(h)jɨ	s(h)jɨ	sjɨ	to be in charge, manage; relation; supervisor	1) управлять, заведовать, ведать; управляющий; 2) департамент; управление, ведомство; 3) князек; 4) Сы ( фамилия )			Dialectal data	30	3304	0972 a-e				ty							
叵	pǒ										древн. нельзя, невозможно				30	775												
叫	jiào	kīws	kīwh	kjǝ̄wh	kiǝ̄wh	kiḕw	kiḕw	kiḕw	kièw	to call	1) кричать; стрекотать; петь; 2) звать, призывать, вызывать; 3) называть, называться; 4) заказать, закупить ( напр. угощение ); 5) заставлять; посылать; дать возможность; служебный побудительный глагол ; 6) вспомогательный глагол пассивных предложений, вводит действующее лицо ( часто сопровождается 給)	Viet. kêu is colloquial; standard Sino-Viet. is khiếu.		Dialectal data	30	2668	1064 g				kêu							
另	lìng	rēŋs	rēŋh	rēŋh	riēŋh	liḕŋ	liḕŋ	liḕŋ	lìeŋ	different [post-Tang]	1) другой; специальный; особо, отдельно; изолированно; отделить, отрезать; отделиться; 2) нуль, вм. 零	A late dialectal word (the MC reading comes from Zihui); Min dialects point to *r, cf. Xiamen liŋ 6 , Chaozhou, Fuzhou leŋ 6 .		Dialectal data	30	4730												
只	zhǐ	keʔ	ké	ké	kjé	kjé	kjé	kjé	ćé	prosodic particle	только, лишь, всего лишь; но; но только; [zhī] счетное слово вм. 隻	Sch.: 'Meaning not clear, perhaps a variant of 止 *tǝʔ' (the latter  statement is dubious, because 只 obviously had a velar initial in OC, see ROPS 284). In  later literature the particle means 'only, merely'.		Dialectal data	30	7914	0865 a				chi`				4.1, 28.4, 41.1, 41.2, 41.3, 45.1, 45.2			語巳詞也.從口.象氣下引之形.凡只之屬皆從只. [87]
史	shǐ	srǝʔ	srǝ́	ṣǝ́	ṣǝ́	ṣɨ́	ṣɨ́	ṣɨ́	ṣɨ́	secretary	1) история; исторический; анналы; летопись; 2) историограф, летописец; древн. хранитель библиотеки; 3) Ши ( фамилия )	A later attested, but no doubt archaic meaning is 'annals, history, record', which makes Schüssler's identification of 史 and 使 'send, cause' dubious.	Sino-Tibetan etymology	Dialectal data	30	6419	0975 a-f				su`'							
叱	chì	thit	thit	thjǝt	ćhǝt	ćhit	ćhit	ćhit	ćhit	revile [LZ]	1) разносить, распекать, бранить, кричать ( на кого-л. ); 2) орать, галдеть; отгонять криком	Xiesheng would rather point to *shit, so the MC reading could be irregular (instead of expected *chjit).			30	7189	0400 e											
台	tái									I, me; also tai 1 "rounded (back)"	1) высокий, уважаемый; эпист. Вы; Ваш; 2) сокр. написание 臺; [yí] 1) древн. я; 2) вм. 怡			Dialectal data	30	1425												
句	jù	kos	koh	kwah	kwah	kwò	kwò	kwò	kǜ	sentence, clause [Han]	1) предложение, фраза; 2) счетный суффикс слов ; 3) остановить(ся); [gōu gòu] 1) согнуться; крюк, см. 勾; 2) Гоу ( фамилия )	Viet. câu is colloquial (regular Sino-Viet. is cú) - probably under the  influence of another reading of 句, MC kʌw - see under 勾.	Sino-Tibetan etymology	Dialectal data	20	4312	0108 a-b				câu							
叭	bā								phạ̈t	an interjection	фонетический знак без значения	Attested only since Tang (the fanqie is taken from Jiyun).			30	6361												
叻	le														0	0												
四	sì	slhijs	sl̥ić	sl̥jǝś	s(h)jǝś	s(h)jiś	s(h)jìj	s(h)jì	sjì	four	1) четыре; четвертый; четырежды; 2) четыре страны света; со всех сторон; во все стороны; повсюду; 3) сокр. апрель	For early OC a reconstruction *slhits is also possible. Vietnamese has a peculiar tone opposition: tú' 'four' - tu' 'fourth' (cf. analogically for 二 'two').	Sino-Tibetan etymology	Dialectal data	31	1893	0518 a-d				tú'	śi6	śi6	si6	53.1_, 57.3			
