Character	Modern (Beijing) reading	Preclassic Old Chinese	Classic Old Chinese	Western Han Chinese	Eastern Han Chinese	Early Postclassic Chinese	Middle Postclassic Chinese	Late Postclassic Chinese	Middle Chinese	English meaning	Russian meaning[s]	Comments	Sino-Tibetan etymology	Dialectal data	Radical	Four-angle index	Karlgren code	Go-on	Kan-on	Japanese reading	Vietnamese reading	Jianchuan Bai	Dali Bai	Bijiang Bai	Shijing occurrences	Fanqie	Rhyme class	Shuowen gloss
淩	líng										1) проходить, пересекать; объезжать; 2) подниматься, восходить; 3) притеснять, обижать; 4) Лин ( фамилия )				85	6297	0898 e											
淢															0	0	0929 l											
涷															0	0	1175 g											
淶	lai														0	0												
淈	gǔ	kūt	kwǝ̄t	kwǝ̄t	kwǝ̄t	kwǝ̄t	kwǝ̄t	kwǝ̄t	kot	dirt, to sully		Also read *gūt, MC ɣot id.	Sino-Tibetan etymology		0	0	0496 o											
淠	pì									be dense, luxuriant; to float, glide					0	0	0521 d											
淖	nào										грязь, слякоть				85	2270	1126 j-k											
淥	lù										1) прозрачная вода; 2) см. 漉; 3) Лу ( фамилия )				85	5531												
淝	féi										сокр. р. Фэйшуй ( в провинции Аньхуй )				85	7128												
淊															0	0	0672 g-h											
涽															0	0	0457 p											
烷	wan														0	0												
烴	ting														0	0												
焌															0	0	0468 u											
焄	xūn										1) вздыматься ( о пламени ); пылать; 2) душистый, пахучий				86	8572	0459 h											
焐	wu														0	0												
焓	han														0	0												
焂															0	0	1077 m-n											
牾	wu														0	0												
