Character	Number	Chinese etymology	MC description	ZIHUI	Beijing	Jinan	Xi'an	Taiyuan	Hankou	Chengdu	Yangzhou	Suzhou	Wenzhou	Changsha	Shuangfeng	Nanchang	Meixian	Guangzhou	Xiamen	Chaozhou	Fuzhou	Shanghai	Zhongyuan yinyun
井	66	Chinese etymology	通合一平東見	0361 2684	kuŋ 11	kuŋ 11	koŋ 11	kuŋ 1	koŋ 11	koŋ 11	kɔuŋ 11	koŋ 11	koŋ 11	koŋ 11	kaŋ 11; kǝn 11	kuŋ 11	kuŋ 11	kuŋ 11	kɔŋ 11	koŋ 11	kuŋ 11 (lit.); köyŋ 11	koŋ 1	kuŋ 1
尹	67	Chinese etymology	通合三平鍾曉	0423 2717	śyŋ 11	śyŋ 11	śyŋ 11	śyŋ 1	śioŋ 11	śyoŋ 11	śiɔuŋ 11	śioŋ 11	śyɔ 11	śioŋ 11	śin 11	śiuŋ 11	hiuŋ 11	huŋ 11	hiɔŋ 11	hioŋ 11	xyŋ 11	śioŋ 1	xiuŋ 1
�臻合三平文非	68	Chinese etymology	0433 2034	fǝn 11	fẽ 11	fẽ 11	fǝŋ 1	fǝn 11	fǝn 11	fǝn 11	fǝn 11	faŋ 11	fǝn 11	xuǝn 11	фun 11	fun 11	fan 11	hun 11 (lit.); pun 11	huŋ 11	xuŋ 11 (lit.); puɔŋ 11	fǝŋ 1	fǝn 1	98
�山開四入屑清	69	Chinese etymology	0434 0355	ćhie 11	ćhie 11	ćhie 11	ćhiǝʔ 41	ćhie 12	ćhie 12	ćhiǝʔ 4	chiôʔ 41	ćhi 41	chie 4	ćhiɛ 12	ćhiɛt 41	chiɛt 41	čhit 43	chiat 41	chiek 41	chieʔ 41	chîʔ 4	chie 42	99
�臻合三平諄以	70	Chinese etymology	0542 2214	yn 12	yẽ 12	yẽ 12	yŋ 1	yn 12	yn 12	yĩ 12	yǝn 12	ɦyoŋ 12	yn 12	uǝn 12	yn 31	jun 12	uan 12	un 12	uŋ 12	yŋ 12	yiŋ 32	yǝn 12	101
�流開一平侯見	71	Chinese etymology	0551 1553	kou 11	kou 11	kou 11	kou 1	kou 11	kǝu 11	kôɨ 11	köy 11	kǝu 11	kôu 11	kie 11	kiɛu 11	kɛu 11	kau 11	kau 11	kau 11	keu 11 (lit.); kau 11			102
�臻合三入物微	72	Chinese etymology	0543 0951	u 3	u 3	vo 11	vǝʔ 41	u 12	vu 12	uǝʔ 4	vôʔ 42	fai 11	fu 4	xǝu 12	фut 41	vut 42	mat 42	but 42 (lit.); mĩ 12	mai 31	uʔ 42	fôʔ 4  (lit.); vôʔ 42	u 43	103
�假合二去禡曉	73	Chinese etymology	0553 0131	xua 3	xua 3	xua 3	xua 3	xua 3	xua 3	xuâ 3	ho 31	xo 31	fa 31	xo 31	фua 31	fa 3	fa 31	hua 31	hue 32	xua 31	ho 3	xua 3	104
�臻開三入質滂	74	Chinese etymology	0572 0554	phi 2	phi 11	phi 2	phiǝʔ 41	phi 12	phi 12	phiǝʔ 4	phiôʔ 41	phi 41	phi 4	phi 12	phit 41	phit 41	phat 41	phit 41	phik 41	pheiʔ 41	phîʔ 4	phi 42	105
�遇合一上姥疑	75	Chinese etymology	0582 0941	u 2	u 2	u 2	vu 2	u 2	vu 2	u 2	ǝu 11 (lit.); ŋ 12	ŋ 12	u 2	ǝu 2	u 2	ŋ 2	ŋ 22	ŋɔ 2	ŋou 21	ŋu 2	ɦu 32	u 2	106
�曾開三平蒸書	76	Chinese etymology	0581 2482	ṣǝŋ 11	ṣǝŋ 11	ṣǝŋ 11	sǝŋ 1	sǝn 11	sǝn 11	sǝn 11	sǝn 11	seŋ 11	ṣǝn 11	śin 11	sǝn 11	sǝn 11	šîŋ 11	sîŋ 11	seŋ 11	siŋ 11	sǝŋ 1	šiǝŋ 1	107
